COLOR_INTENSITY,SHAPE,RIPENESS_PER,ALCOHOL_PER,MALIC_ACID_PER,ASH,ALCALINITY_OF_ASH,MAGNESIUM_MEASURE,TOTAL_PHENOLS,FLAVANOIDS,PROANTHOCYANINS,HUE,PROLINE,TEMPERATURE,AVG_HUMIDITY,FERT_NITRO_PER,WATER_O2_PER,WATER_PH,FER_P2O5_PER,SOIL_TYPE,CLASS
97.23,elliptical,21.62,11.82,1.47,1.99,20.8,86,1.98,1.6,1.53,0.95,495,28.55,55.13,30.02,90.92,7.3,43.29,archean,Medium
97.92,elliptical,21.1,12.42,1.61,2.19,22.5,108,2,2.09,1.61,1.06,345,28.19,44.61,30.62,86.68,7.95,60.41,archean,Medium
106.39,round,22.88,12.77,3.43,1.98,16,80,1.63,1.25,0.83,0.7,372,25.26,53.87,30.79,89.31,7.08,57.99,archean,Medium
93,round,22.33,12,3.43,2,19,87,2,1.64,1.87,0.93,564,25.93,44.77,30.43,90.79,7.91,44.03,archean,Medium
105.44,round,21.52,11.45,2.4,2.42,20,96,2.9,2.79,1.83,0.8,625,26.96,51.46,30.1,89.49,7.75,52.78,alluvial,Medium
122.8,elliptical,21.4,11.56,2.05,3.23,28.5,119,3.18,5.08,1.87,0.93,465,24.22,45.98,30.82,89.53,7.83,55.85,archean,Medium
98.05,elliptical,21.71,12.42,4.43,2.73,26.5,102,2.2,2.13,1.71,0.92,365,28.73,50.33,30.67,89.9,7.63,60.03,alluvial,Medium
127.54,elliptical,17.44,14.2,1.76,2.45,15.2,112,3.27,3.39,1.97,1.05,1450,26.81,50.01,30.6,88.43,6.64,50.46,archean,Medium
118.07,elliptical,19.79,14.39,1.87,2.45,14.6,96,2.5,2.52,1.98,1.02,1290,26.37,53.93,30.38,93.2,7.04,37.5,alluvial,Medium
116.8,elliptical,17.89,14.06,2.15,2.61,17.6,121,2.6,2.51,1.25,1.06,1295,24.57,45.01,32.61,93.57,6.63,36.54,archean,Medium
117.75,round,16.62,14.83,1.64,2.17,14,97,2.8,2.98,1.98,1.08,1045,26.35,49.81,30.56,86.43,8.45,50.91,archean,Medium
130.51,elliptical,16.87,13.86,1.35,2.27,16,98,2.98,3.15,1.85,1.01,1045,25.42,56.42,30.47,92.69,7.9,41.18,alluvial,Medium
101.33,elliptical,22.16,13.05,5.8,2.13,21.5,86,2.62,2.65,2.01,0.73,380,25.69,53.66,31.58,92.03,7.19,47.61,alluvial,Medium
102.6,elliptical,21.78,11.87,4.31,2.39,21,82,2.86,3.03,2.91,0.75,380,28.32,56.74,28.21,89.72,6.74,38.88,alluvial,Medium
102.34,elliptical,21.23,12.07,2.16,2.17,21,85,2.6,2.65,1.35,0.86,378,25.58,46.15,30.14,89.52,8.49,55.83,alluvial,Medium
109.8,elliptical,21.67,12.43,1.53,2.29,21.5,86,2.74,3.15,1.77,0.69,352,24.23,52.23,30.72,85.91,7.73,55.47,archean,Medium
103.86,round,22.01,11.79,2.13,2.78,28.5,92,2.13,2.24,1.76,0.97,466,27.62,48.98,30.46,86.31,7.57,47.57,archean,Medium
98.3,elliptical,21.95,12.37,1.63,2.3,24.5,88,2.22,2.45,1.9,0.89,342,27.54,47.72,30.01,90.6,7.15,45.91,alluvial,Medium
101.33,elliptical,21.6,12.04,4.3,2.38,22,80,2.1,1.75,1.35,0.79,580,25.1,55.42,30.89,88.14,6.68,52.42,archean,Medium
